Order	Category	Name	Price	Mass	Tags	Motor	Motor Speed	Force	Power	Range
98	Mechanics	Door Panel Corner	20	5	mechanics					
99	Mechanics	Door Panel Edge	10	5	mechanics					
100	Mechanics	Electric Connector	20	2	"mechanics, magnet, on/off, electric, composite, video"					
101	Mechanics	Fluid Connector	20	2	"mechanics, magnet, on/off, fluid, composite, video"					
102	Mechanics	Gearbox 1X1	50	1	"mechanics, basic, power, on/off, electric"					
103	Mechanics	Gearbox 3X3	100	9	"mechanics, power, on/off, electric"					
104	Mechanics	Gearbox 5X5	150	25	"mechanics, power, on/off, electric"					
105	Mechanics	Hardpoint Connector Attachment	20	2	"mechanics, on/off, fluid, composite, video, electric"					
106	Mechanics	Hardpoint Connector Attachment (Round)	20	2	"mechanics, on/off, fluid, composite, video, electric"					
107	Mechanics	Hardpoint Connector Body	20	2	"mechanics, number, on/off, fluid, composite, video, electric"					
108	Mechanics	Hinge Connector	40	3	"mechanics, magnet, on/off, electric, composite, video"					
109	Mechanics	Hinge Dock Door	300	20	"mechanics, door, basic, on/off, number, electric, composite"					
110	Mechanics	Hinge Dock Hatch	200	15	"mechanics, door, basic, on/off, number, electric, composite"					
111	Mechanics	Hinge Door	200	20	"mechanics, door, basic, on/off"					
112	Mechanics	Hinge Hatch	150	15	"mechanics, door, basic, on/off"					
113	Mechanics	Key Button	20	1	"mechanics, basic, on/off, electric"					
114	Mechanics	Large Connector	50	20	"mechanics, magnet, on/off, number, power, electric, fluid, composite, video"					
115	Mechanics	Large Keypad	40	1	"mechanics, button, input, number, on/off, electric"					
116	Mechanics	Linear Track Base	40	3	"mechanics, on/off, number, electric, power, fluid"	20000	5			
117	Mechanics	Linear Track Extension	10	3	mechanics					
118	Mechanics	Lockable Button	20	1	"mechanics, on/off, electric"					
119	Mechanics	Mag All	250	5	"mechanics, magnet, on/off, number, electric"					
120	Mechanics	Piston Suspension	20	20	mechanics					
121	Mechanics	Pivot	20	1	"mechanics, hinge"					
122	Mechanics	Pneumatic Piston	100	5	"mechanics, number, electric, fluid"	200000	5			
123	Mechanics	Push Button	10	1	"mechanics, basic, on/off, electric"					
124	Mechanics	Push Button (2 Sided)	10	1	"mechanics, basic, on/off, electric"					
125	Mechanics	Robotic Door Hinge	400	3	"mechanics, number, electric"	400	5			
126	Mechanics	Robotic Hinge	400	3	"mechanics, number, electric, power, fluid"	400	5			
127	Mechanics	Robotic Pivot (Fluid)	200	9	"mechanics, number, electric, fluid"	200	5			
128	Mechanics	Robotic Pivot (Power)	200	9	"mechanics, number, electric, power"	200	5			
129	Mechanics	Sliding Connector Gripper	20	2	"mechanics, on/off"					
130	Mechanics	Sliding Connector Track	10	2	mechanics					
131	Mechanics	Sliding Door	50	20	"mechanics, door, basic, on/off"					
132	Mechanics	Sliding Door (Electric)	70	20	"mechanics, door, basic, on/off, electric"					
133	Mechanics	Sliding Hatch	40	20	"mechanics, door, basic, on/off"					
134	Mechanics	Sliding Hatch (Electric)	50	15	"mechanics, door, basic, on/off, electric"					
135	Mechanics	Small Connector	20	2	"mechanics, magnet, on/off, electric, composite, video"					
136	Mechanics	Small Keypad	20	1	"mechanics, button, input, number, on/off, electric"					
137	Mechanics	Suspension	50	5	"mechanics, power"					
138	Mechanics	Throttle Lever	30	1	"mechanics, basic, on/off, number, electric"					
139	Mechanics	Throttle Button	10	1	"mechanics, basic, on/off, electric"					
140	Mechanics	Throttle Button (2 Sided)	10	1	"mechanics, basic, on/off, electric"					
141	Mechanics	Turret Ring (Large)	100	36	"mechanics, number, electric"	2000	1			
142	Mechanics	Turret Ring (Medium)	75	22	"mechanics, number, electric"	1000	1			
143	Mechanics	Turret Rung (Small)	50	14	"mechanics, number, electric"	500	2			
144	Mechanics	Velocity Pivot	25	9	"mechanics, number, electric"	1000	5			
145	Propulsion	Aircraft Propeller	125	2	"propulsion, aeroplane, airplane, basic, power, number"			70000		
146	Propulsion	Azimuth Thruster	150	4	"propulsion, boat, propeller, basic, power"			40000		
147	Propulsion	Giant Propeller	500	100	"propulsion, boat, basic, power"			200000		
148	Propulsion	Large Ducted Fan	100	10	"propulsion, rotor, aeroplane, airplane, helicopter, basic, power"			10000		
149	Propulsion	Large Electric Motor	5000	400	"propulsion, basic, power, electric, number"					
150	Propulsion	Large Engine	3000	400	"propulsion, basic, number, on/off, power, fluid, electric"				200000	
151	Propulsion	Large Propeller	250	20	"propulsion, boat, basic, power"			100000		
152	Propulsion	Medium Electric Motor	1500	100	"propulsion, boat, basic, power, electric, number"					
153	Propulsion	Medium Engine	1000	80	"propulsion, aeroplane, airplane, basic, number, on/off, power, fluid, electric"					
154	Propulsion	Rotor (Large)	1050	20	"propulsion, rotor, helicopter, basic, number, power"			200000		
155	Propulsion	Rotor (Light)	150	4	"propulsion, rotor, helicopter, basic, number, power"			10000		
156	Propulsion	Rotor (Small)	250	10	"propulsion, rotor, helicopter, basic, number, power"			50000		
157	Propulsion	Rotor (Tail)	100	4	"propulsion, helicopter, basic, power, number"			4000		
158	Propulsion	Rotor End (Light)	150	4	"propulsion, rotor, helicopter, basic, number, power"			10000		
159	Propulsion	Rotor Propeller (Large)	1850	30	"propulsion, rotor, helicopter, basic, number, power"			200000		
160	Propulsion	Rotor Propeller (Small)	850	20	"propulsion, rotor, helicopter, basic, number, power"			120000		
161	Propulsion	Rotor Propeller End (Large)	1850	30	"propulsion, rotor, helicopter, basic, number, power"			200000		
162	Propulsion	Rotor Propeller End (Small)	850	20	"propulsion, rotor, helicopter, basic, number, power"			120000		
163	Propulsion	Small Ducted Fan	50	6	"propulsion, rotor, aeroplane, airplane, helicopter, basic, power"			2000		
164	Propulsion	Small Electric Motor	450	5	"propulsion, basic, power, electric, number"					
165	Propulsion	Small Engine	400	30	"propulsion, basic, number, on/off, power, fluid, electric"				20000	
166	Propulsion	Small Propeller	75	3	"propulsion, boat, basic, power"			20000		
167	Propulsion	Solid Rocket Booster (Huge)	2000	50	"propulsion, on/off, number"					
168	Propulsion	Solid Rocket Booster (Large)	800	30	"propulsion, on/off, number"					
169	Propulsion	Solid Rocket Booster (Medium)	300	20	"propulsion, on/off, number"					
170	Propulsion	Solid Rocket Booster (Small)	100	5	"propulsion, on/off"					
171	Propulsion	Solid Rocket Fuel (Huge)	500	50	propulsion					
172	Propulsion	Solid Rocket Fuel (Huge)(Fins)	1000	58	"propulsion, control, missile, composite, electric"					
173	Propulsion	Solid Rocket Fuel (Large)	400	30	propulsion					
174	Propulsion	Solid Rocket Fuel (Large)(Fins)	800	38	"propulsion, control, missile, composite, electric"					
175	Propulsion	Solid Rocket Fuel (Medium)	200	20	propulsion					
176	Propulsion	Solid Rocket Fuel (Medium)(Fins)	400	24	"propulsion, control, missile, composite, electric"					
177	Propulsion	Solid Rocket Fuel (Small)	100	5	propulsion					
178	Propulsion	Solid Rocket Fuel (Small)(Fins)	200	7	"propulsion, control, missile, composite, electric"					
179	Propulsion	Torque Crank	25	4	"propulsion, manual, power"					
180	Propulsion	Torque Meter	25	4	"propulsion, power, number"					
181	Propulsion	Train Wheel Assembly Classic	100	400	"propulsion, basic, number, power, on/off"					
182	Propulsion	Tain Wheel Assembly Flanged A	50	200	"propulsion, number, on/off"					
183	Propulsion	Train Wheel Assembly Flanged B	50	200	"propulsion, number, on/off"					
184	Propulsion	Train Wheel Assembly Flanged C	50	200	"propulsion, number, on/off"					
185	Propulsion	Train Wheel Assembly Flanged D	50	200	"propulsion, number, on/off"					
186	Propulsion	Train Wheel Assembly Medium	50	200	"propulsion, number, power, on/off"					
187	Propulsion	Train Wheel Assembly Small	50	200	"propulsion, number, power, on/off"					
188	Propulsion	Train Wheel Assembly Steam Large A	100	400	"propulsion, steam, number, on/off"					
189	Propulsion	Train Wheel Assembly Steam Large B	100	400	"propulsion, steam, number, on/off"					
190	Propulsion	Train Wheel Assembly Steam Medium A	50	200	"propulsion, steam, number, on/off"					
191	Propulsion	Train Wheel Assembly Steam Medium B	50	200	"propulsion, steam, number, on/off"					
192	Propulsion	Train Wheel Assembly Steam Small A	50	200	"propulsion, steam, number, on/off"					
193	Propulsion	Train Wheel Assembly Steam Small B	50	200	"propulsion, steam, number, on/off"					
194	Propulsion	Train Wheel Assembly X1	50	200	"propulsion, number, power, on/off"					
195	Propulsion	Train Wheel Assembly X1 Small	50	200	"propulsion, number, power, on/off"					
196	Propulsion	Train Wheel Assembly X2	100	350	"propulsion, number, power, on/off"					
197	Propulsion	Train Wheel Assembly X3	150	450	"propulsion, number, power, on/off"					
198	Propulsion	Train Wheel Drive Piston Large	600	600	"propulsion, steam, fluid, on/off"					
199	Propulsion	Train Wheel Drive Piston Medium	400	400	"propulsion, steam, fluid, on/off"					
200	Propulsion	Train Wheel Drive Piston Small	300	300	"propulsion, steam, fluid, on/off"					
201	Specialist Equipment	Bed	250	20	"specialist equipment, basic, on/off"					
202	Specialist Equipment	Camera Gimbal	5000	50	"specialist equipment, video, electric, on/off, number"					
203	Specialist Equipment	Camera Medium	3000	10	"specialist equipment, video, electric, on/off, number"					
204	Specialist Equipment	Camera Small	1000	5	"specialist equipment, video, electric"					
205	Specialist Equipment	Camera Stabilized	50000	60	"specialist equipment, laser, lazer, video, electric, on/off, number, composite"					
206	Specialist Equipment	Electrical Cable Anchor	15	1	"specialist equipment, basic, rope, electric, composite, on/off, video, audio"					
207	Specialist Equipment	Equipment Inventory (Binoculars)	50	1	"specialist equipment, basic, electric"					
208	Specialist Equipment	Equipment Inventory (C4 Detonator)	50	1	"specialist equipment, weapon, explosive, electric"					
209	Specialist Equipment	Equipment Inventory (C4 Explosive)	50	1	"specialist equipment, weapon, explosive, electric"					
210	Specialist Equipment	Equipment Inventory (Cable)	200	3	"specialist equipment, basic, electric"					
211	Specialist Equipment	Equipment Inventory (Compass)	50	1	"specialist equipment, basic, electric"					
212	Specialist Equipment	Equipment Inventory (Defibrillator)	200	3	"specialist equipment, basic, electric"					
213	Specialist Equipment	Equipment Inventory (Dog Whistle)	50	1	"specialist equipment, basic, electric"					
214	Specialist Equipment	Equipment Inventory (Fire Extinguisher)	200	3	"specialist equipment, basic, mission, electric"					
215	Specialist Equipment	Equipment Inventory (First Aid Kit)	50	1	"specialist equipment, basic, mission, electric"					
216	Specialist Equipment	Equipment Inventory (Flare)	50	1	"specialist equipment, electric"					
217	Specialist Equipment	Equipment Inventory (Flaregun Ammo)	50	1	"specialist equipment, electric"					
218	Specialist Equipment	Equipment Inventory (Flaregun)	50	1	"specialist equipment, electric"					
219	Specialist Equipment	Equipment Inventory (Flashlight)	50	1	"specialist equipment, basic, electric"					
220	Specialist Equipment	Equipment Inventory (Glowstick)	50	1	"specialist equipment, electric"					
221	Specialist Equipment	Equipment Inventory (Hand Grenade)	50	1	"specialist equipment, weapon, explosive, electric"					
222	Specialist Equipment	Equipment Inventory (Hose)	200	3	"specialist equipment, basic, electric"					
223	Specialist Equipment	Equipment Inventory (Night Vision Binoculars)	50	1	"specialist equipment, basic, electric"					
224	Specialist Equipment	Equipment Inventory (Oxygen Mask)	50	1	"specialist equipment, basic, electric"					
225	Specialist Equipment	Equipment Inventory (Pistol Ammo)	50	1	"specialist equipment, weapon, firearm, gun, electric"					
226	Specialist Equipment	Equipment Inventory (Pistol)	200	3	"specialist equipment, weapon, firearm, gun, electric"					
227	Specialist Equipment	Equipment Inventory (Radiation Detector)	50	1	"specialist equipment, geiger, radiation, electric"					
228	Specialist Equipment	Equipment Inventory (Radio Signal Locator)	200	3	"specialist equipment, mission, electric"					
229	Specialist Equipment	Equipment Inventory (Radio)	50	1	"specialist equipment, basic, electric"					
230	Specialist Equipment	Equipment Inventory (Remote Control Unit)	50	1	"specialist equipment, electric"					
231	Specialist Equipment	Equipment Inventory (Rifle Ammo)	50	1	"specialist equipment, weapon, firearm, gun, electric"					
232	Specialist Equipment	Equipment Inventory (Rifle)	200	3	"specialist equipment, weapon, firearm, gun, electric"					
233	Specialist Equipment	Equipment Inventory (Rope)	200	3	"specialist equipment, basic, electric"					
234	Specialist Equipment	Equipment Inventory (SMG Ammo)	50	1	"specialist equipment, weapon, firearm, gun, electric"					
235	Specialist Equipment	Equipment Inventory (SMG)	200	3	"specialist equipment, weapon, firearm, gun, electric"					
236	Specialist Equipment	Equipment Inventory (Speargun Ammo)	50	1	"specialist equipment, weapon, firearm, gun, electric"					
237	Specialist Equipment	Equipment Inventory (Speargun)	200	3	"specialist equipment, weapon, firearm, gun, electric"					
238	Specialist Equipment	Equipment Inventory (Strobe Light)	50	1	"specialist equipment, electric"					
239	Specialist Equipment	Equipment Inventory (Strobe Light Infrared)	50	1	"specialist equipment, electric"					
240	Specialist Equipment	Equipment Inventory (Transponder)	50	1	"specialist equipment, mission, electric"					
241	Specialist Equipment	Equipment Inventory (Underwater Welding Torch)	200	3	"specialist equipment, basic, electric"					
242	Specialist Equipment	Flare Launcher	10	1	"specialist equipment, on/off"					
243	Specialist Equipment	Fluid Cannon	100	11	"specialist equipment, number, fluid, electric"					
244	Specialist Equipment	Fluid Hose Anchor	15	1	"specialist equipment, basic, rope, fluid"					
245	Specialist Equipment	Fluid Nozzle	100	1	"specialist equipment, cannon, basic, fluid, number, electric"					
246	Specialist Equipment	Foghorn	200	5	"specialist equipment, boat, sound, audio, on/off, electric"					
247	Specialist Equipment	Harness	150	20	"specialist equipment, basic, seat, on/off, composite"					
248	Specialist Equipment	Heater	50	3	"specialist equipment, basic, seat, on/off, electric"					
249	Specialist Equipment	Huge Winch	5000	400	"specialist equipment, basic, on/off, rope, electric, composite, video, audio, number, fluid"					
250	Specialist Equipment	Landing Float	50	1	"specialist equipment, basic"					
251	Specialist Equipment	Large Equipment Inventory (Empty)	50	3	"specialist equipment, basic, electric"					
252	Specialist Equipment	Large Winch	800	100	"specialist equipment, basic, on/off, rope, electric, composite, video, audio, number, fluid"					
253	Specialist Equipment	Light	20	1	"specialist equipment, on/off, electric"					10
254	Specialist Equipment	Light (RGB)	50	1	"specialist equipment, composite, electric"					
255	Specialist Equipment	Medical Bed	2500	40	"specialist equipment, basic, on/off"					
256	Specialist Equipment	Medium Winch	250	20	"specialist equipment, basic, on/off, rope, electric, composite, video, audio, number, fluid"					
257	Specialist Equipment	Megaphone Speaker (Large)	1000	10	"specialist equipment, audio, electric, on/off"					
258	Specialist Equipment	Megaphone Speaker (Small)	500	3	"specialist equipment, audio, electric, on/off"					
259	Specialist Equipment	Mineral Drill	20000	110	"specialist equipment, mining, ore, coal, power"					
260	Specialist Equipment	Mounted End-Effector	1000	10	"specialist equipment, electric, on/off"					
261	Specialist Equipment	Mounted Welder	1000	10	"specialist equipment, electric, on/off"					
262	Specialist Equipment	Outfit Inventory (Arctic)	500	9	"specialist equipment, basic, electric"					
263	Specialist Equipment	Outfit Inventory (Armor Vest)	1500	9	"specialist equipment, basic, electric"					
264	Specialist Equipment	Outfit Inventory (Black Hawk Vest)	500	9	"specialist equipment, basic, electric"					
265	Specialist Equipment	Outfit Inventory (Bomb Disposal)	1500	9	"specialist equipment, basic, electric"					
266	Specialist Equipment	Outfit Inventory (Chest Rig)	500	9	"specialist equipment, basic, electric"					
267	Specialist Equipment	Outfit Inventory (Diving)	2000	9	"specialist equipment, basic, electric"					
268	Specialist Equipment	Outfit Inventory (Empty)	50	9	"specialist equipment, basic, electric"					
269	Specialist Equipment	Outfit Inventory (Firefighter)	500	9	"specialist equipment, basic, electric"					
270	Specialist Equipment	Outfit Inventory (Hazmat)	500	9	"specialist equipment, basic, radiation, electric"					
271	Specialist Equipment	Outfit Inventory (Parachute)	500	9	"specialist equipment, basic, electric"					
272	Specialist Equipment	Outfit Inventory (Plate Vest)	800	9	"specialist equipment, basic, electric"					
273	Specialist Equipment	Outfit Inventory (Scuba)	500	9	"specialist equipment, basic, electric"					
274	Specialist Equipment	Padded Seat	25	2	"specialist equipment, basic, seat, on/off"					
275	Specialist Equipment	Passenger Seat	50	6	"specialist equipment, basic, seat, on/off"					
276	Specialist Equipment	Rope Anchor	15	1	"specialist equipment, basic, rope"					
277	Specialist Equipment	Search Light	30	20	"specialist equipment, spotlight, basic, on/off, number, electric"					120
278	Specialist Equipment	Siren	200	5	"specialist equipment, sound, audio, on/off, electric"					
279	Specialist Equipment	Small Equipment Inventory (Empty)	50	1	"specialist equipment, basic, electric"					
280	Specialist Equipment	Small Spotlight (Block)	20	1	"specialist equipment, on/off, electric"					60
281	Specialist Equipment	Small Spotlight (Mounted)	20	1	"specialist equipment, on/off, electric"					60
282	Specialist Equipment	Small Winch	100	10	"specialist equipment, on/off, rope, electruc, fluid"					
283	Specialist Equipment	Sonar Noisemaker	250	1	"specialist equipment, on/off, electric"					
284	Specialist Equipment	Stretcher	250	80	"specialist equipment, basic, on/off"					
285	Specialist Equipment	Transponder	20	1	"specialist equipment, basic, mission, electric, on/off"					
286	Specialist Equipment	Vehicle Parachute	500	5	"specialist equipment, on/off"					
287	Logic	ABS	20	1	"logic, number"					
288	Logic	ADD	20	1	"logic, number"					
289	Logic	AND	20	1	"logic, number"					
290	Logic	Blinker	20	1	"logic, on/off"					
291	Logic	Capacitor	20	1	"logic, on/off"					
292	Logic	Clamp	20	1	"logic, number"					
293	Logic	Constant Number	20	1	"logic, number"					
294	Logic	Constant On Signal	20	1	"logic, on/off"					
295	Logic	Counter	20	1	"logic, number"					
296	Logic	Counter (Ping Pong)	20	1	"logic, number"					
297	Logic	Delay	20	1	"logic, on/off"					
298	Logic	Divide	20	1	"logic, number, on/off"					
299	Logic	Exponent	20	1	"logic, square, cube, root, sqrt, pow, number"					
300	Logic	Function (1 Input)	80	1	"logic, number"					
301	Logic	Function (3 Inputs)	100	1	"logic, number"					
302	Logic	Greater-Than	20	1	"logic, number, on/off"					
303	Logic	JK Flip-Flop	20	1	"logic, on/off"					
304	Logic	Less-Than	20	1	"logic, number, on/off"					
305	Logic	Memory Register	20	1	"logic, number, on/off"					
306	Logic	Modulo	20	1	"logic, number"					
307	Logic	Multiply	20	1	"logic, number"					
308	Logic	NOT	20	1	"logic, on/off"					
309	Logic	Numerical Inverter	20	1	"logic, number"					
310	Logic	Numerical Junction	20	1	"logic, on/off, number"					
311	Logic	Numerical Switchbox	20	1	"logic, on/off, number"					
312	Logic	OR	20	1	"logic, on/off"					
313	Logic	PID Controller	100	1	"logic, on/off, number"					
314	Logic	Push To Toggle	20	1	"logic, on/off"					
315	Logic	SR Latch	20	1	"logic, on/off"					
316	Logic	Subtract	20	1	"logic, number"					
317	Logic	Threshold Gate	20	1	"logic, number, on/off"					
318	Logic	Trigonometry	20	1	"logic, sine, cosine, tangentm asin, atan, acos, inverse, function, number"					
319	Logic	Up/Down	20	1	"logic, on/off, number"					
320	Logic	XOR	20	1	"logic, on/off"					
321	Display	Artificial Horizon	20	1	"displays, basic, on/off, electric"					
322	Display	Buzzer	100	1	"displays, sound, audio, siren, on/off, electric"					
323	Display	Clock	100	1	"displays, basic, number, on/off, electric"					
324	Display	Compass Ball	20	1	"displays, basic, on/off, electric"					
325	Display	Dial	20	1	"displays, basic, number, on/off, electric"					
326	Display	Digital Display	20	1	"displays, basic, number, on/off, electric"					
327	Display	Gauge Display	20	2	"displays, number, on/off, electric"					
328	Display	HUD Large	10000	18	"displays, video, composite, electric, on/off"					
329	Display	HUD Small	2000	2	"displays, video, composite, electric, on/off"					
330	Display	Indicator Light	20	1	"displays, basic, on/off, electric"					
331	Display	Indicator Light (RGB)	50	1	"displays, basic, composite, electric"					
332	Display	Indicator Panel	200	1	"displays, composite, electric, on/off"					
333	Display	Laser Beacon	5	1	"displays, on/off, electric, number"					
334	Display	Monitor 1X1	500	4	"displays, video, composite, electric, on/off"					
335	Display	Monitor 1X2	1000	8	"displays, video, composite, electric, on/off"					
336	Display	Monitor 1X3	1500	12	"displays, video, composite, electric, on/off"					
337	Display	Monitor 2X2	2000	16	"displays, video, composite, electric, on/off"					
338	Display	Monitor 2X3	3000	24	"displays, video, composite, electric, on/off"					
339	Display	Monitor 3X3	4500	36	"displays, video, composite, electric, on/off"					
