File Name	InGame Name	Property Name	Biome
arid_island_17_14			
arid_island_17_15			
arid_island_17_4			
arid_island_17_5			
arid_island_17_6			
arid_island_17_7			
arid_island_17_8			
arid_island_17_9			
arid_island_18_10			
arid_island_18_11			
arid_island_18_12			
arid_island_18_13			
arid_island_18_14			
arid_island_18_3			
arid_island_18_4			
arid_island_18_5			
arid_island_18_6			
arid_island_18_7			
arid_island_18_8			
arid_island_18_9			
arid_island_19_10			
arid_island_19_11			
arid_island_19_12			
arid_island_19_13			
arid_island_19_14			
arid_island_19_15			
arid_island_19_3			
arid_island_19_4			
arid_island_19_5			
arid_island_19_6			
arid_island_19_7			
arid_island_19_8			
arid_island_19_9			
arid_island_20_10			
arid_island_20_11			
arid_island_20_12			
arid_island_20_13			
arid_island_20_14			
arid_island_20_15			
arid_island_20_3			
arid_island_20_4			
arid_island_20_5			
arid_island_20_6			
arid_island_20_7			
arid_island_20_8			
arid_island_20_9			
arid_island_21_10			
arid_island_21_11			
arid_island_21_12			
arid_island_21_13			
arid_island_21_14			
arid_island_21_15			
arid_island_21_3			
arid_island_21_4			
arid_island_21_5			
arid_island_21_6			
arid_island_21_7			
arid_island_21_8			
arid_island_21_9			
arid_island_22_10			
arid_island_22_11			
arid_island_22_12			
arid_island_22_13			
arid_island_22_14			
arid_island_22_15			
arid_island_22_3			
arid_island_22_4			
arid_island_22_5			
arid_island_22_6			
arid_island_22_7			
arid_island_22_8			
arid_island_22_9			
arid_island_23_10			
arid_island_23_11			
arid_island_23_12			
arid_island_23_13			
arid_island_23_14			
arid_island_23_15			
arid_island_23_3			
arid_island_23_4			
arid_island_23_5			
arid_island_23_6			
arid_island_23_7			
arid_island_23_8			
arid_island_23_9			
arid_island_24_10			
arid_island_24_11			
arid_island_24_12			
arid_island_24_13			
arid_island_24_14			
arid_island_24_15			
arid_island_24_3			
arid_island_24_4			
arid_island_24_5			
arid_island_24_6			
arid_island_24_7			
arid_island_24_8			
arid_island_24_9			
arid_island_25_10			
arid_island_25_11			
arid_island_25_12			
arid_island_25_13			
arid_island_25_14			
arid_island_25_15			
arid_island_25_3			
arid_island_25_4			
arid_island_25_5			
arid_island_25_6			
arid_island_25_7			
arid_island_25_8			
arid_island_25_9			
arid_island_26_10			
arid_island_26_11			
arid_island_26_12			
arid_island_26_13			
arid_island_26_14			
arid_island_26_3			
arid_island_26_4			
arid_island_26_5			
arid_island_26_6			
arid_island_26_7			
arid_island_26_8			
arid_island_26_9			
arid_island_27_10			
arid_island_27_11			
arid_island_27_12			
arid_island_27_13			
arid_island_27_14			
arid_island_27_15			
arid_island_27_4			
arid_island_27_5			
arid_island_27_6			
arid_island_27_7			
arid_island_27_8			
arid_island_27_9			
arid_island_28_10			
arid_island_28_11			
arid_island_28_12			
arid_island_28_13			
arid_island_28_14			
arid_island_28_3			
arid_island_28_4			
arid_island_28_5			
arid_island_28_6			
arid_island_28_7			
arid_island_28_8			
arid_island_28_9			
arid_island_29_10			
arid_island_29_11			
arid_island_29_12			
arid_island_29_13			
arid_island_29_14			
arid_island_29_3			
arid_island_29_4			
arid_island_29_5			
arid_island_29_6			
arid_island_29_7			
arid_island_29_8			
arid_island_29_9			
arid_island_2_10			
arid_island_2_11			
arid_island_2_12			
arid_island_2_14			
arid_island_2_15			
arid_island_2_5			
arid_island_2_6			
arid_island_2_7			
arid_island_2_8			
arid_island_2_9			
arid_island_30_6			
arid_island_30_7			
arid_island_30_9			
arid_island_3_10			
arid_island_3_11			
arid_island_3_12			
arid_island_3_13			
arid_island_3_14			
arid_island_3_15			
arid_island_3_4			
arid_island_3_5			
arid_island_3_6			
arid_island_3_7			
arid_island_3_8			
arid_island_3_9			
arid_island_4_10			
arid_island_4_11			
arid_island_4_12			
arid_island_4_13			
arid_island_4_14			
arid_island_4_15			
arid_island_4_4			
arid_island_4_5			
arid_island_4_6			
arid_island_4_7			
arid_island_4_8			
arid_island_4_9			
arid_island_5_10			
arid_island_5_11			
arid_island_5_12			
arid_island_5_13			
arid_island_5_14			
arid_island_5_3			
arid_island_5_4			
arid_island_5_5			
arid_island_5_6			
arid_island_5_7			
arid_island_5_8			
arid_island_5_9			
arid_island_6_10			
arid_island_6_11			
arid_island_6_12			
arid_island_6_13			
arid_island_6_14			
arid_island_6_15			
arid_island_6_4			
arid_island_6_5			
arid_island_6_6			
arid_island_6_7			
arid_island_6_8			
arid_island_6_9			
arid_island_7_10			
arid_island_7_11			
arid_island_7_12			
arid_island_7_13			
arid_island_7_14			
arid_island_7_15			
arid_island_7_4			
arid_island_7_5			
arid_island_7_6			
arid_island_7_7			
arid_island_7_8			
arid_island_7_9			
arid_island_8_10			
arid_island_8_11			
arid_island_8_12			
arid_island_8_13			
arid_island_8_14			
arid_island_8_15			
arid_island_8_3			
arid_island_8_4			
arid_island_8_5			
arid_island_8_6			
arid_island_8_7			
arid_island_8_8			
arid_island_8_9			
arid_island_9_10			
arid_island_9_11			
arid_island_9_12			
arid_island_9_13			
arid_island_9_14			
arid_island_9_15			
arid_island_9_3			
arid_island_9_4			
arid_island_9_5			
arid_island_9_6			
arid_island_9_7			
arid_island_9_8			
arid_island_9_9			
blank			
buoyancy_test			
ice_shelf_01			
ice_shelf_01_rot_0			
ice_shelf_01_rot_1			
ice_shelf_01_rot_2			
ice_shelf_01_rot_3			
ice_shelf_02			
ice_shelf_02_rot_0			
ice_shelf_02_rot_1			
ice_shelf_02_rot_2			
ice_shelf_02_rot_3			
ice_shelf_03			
ice_shelf_03_rot_0			
ice_shelf_03_rot_1			
ice_shelf_03_rot_2			
ice_shelf_03_rot_3			
ice_shelf_04			
ice_shelf_04_rot_0			
ice_shelf_04_rot_1			
ice_shelf_04_rot_2			
ice_shelf_04_rot_3			
ice_shelf_05			
ice_shelf_05_rot_0			
ice_shelf_05_rot_1			
ice_shelf_05_rot_2			
ice_shelf_05_rot_3			
ice_shelf_06			
ice_shelf_06_rot_0			
ice_shelf_06_rot_1			
ice_shelf_06_rot_2			
ice_shelf_06_rot_3			
ice_shelf_07			
ice_shelf_07_rot_0			
ice_shelf_07_rot_1			
ice_shelf_07_rot_2			
ice_shelf_07_rot_3			
ice_shelf_08			
ice_shelf_08_rot_0			
ice_shelf_08_rot_1			
ice_shelf_08_rot_2			
ice_shelf_08_rot_3			
ice_shelf_09			
ice_shelf_09_rot_0			
ice_shelf_09_rot_1			
ice_shelf_09_rot_2			
ice_shelf_09_rot_3			
ice_shelf_10			
ice_shelf_10_rot_0			
ice_shelf_10_rot_1			
ice_shelf_10_rot_2			
ice_shelf_10_rot_3			
ice_shelf_11			
ice_shelf_11_rot_0			
ice_shelf_11_rot_1			
ice_shelf_11_rot_2			
ice_shelf_11_rot_3			
ice_shelf_12			
ice_shelf_12_rot_0			
ice_shelf_12_rot_1			
ice_shelf_12_rot_2			
ice_shelf_12_rot_3			
island11			
island12	Starter Base		
island_13			
island_14			
island_15	Creative Island		
island_16			
island_17			
island_18			
island_19			
island_2			
island_20			
island_21			
island_22			
island_23			
island_24	Airstrip Base		
island_25	Harbour Base		
island_26_fishing			
island_27_airbase			
island_28_windfarm			
island_29_playerbase_submarine	Custom Base Submarine		
island_3			
island_30_playerbase_boat	Custom Base Large Boat		
island_31_playerbase_combo	Custom Base Small Boat		
island_32_playerbase_heli	Custom Base Heli		
island_33_multi_tile_01			
island_33_tile_03			
island_33_tile_04			
island_33_tile_05			
island_33_tile_06			
island_33_tile_07			
island_33_tile_08			
island_33_tile_09			
island_33_tile_11			
island_33_tile_12			
island_33_tile_13			
island_33_tile_21			
island_33_tile_22			
island_33_tile_23			
island_33_tile_31			
island_33_tile_32	Terminal Spycakes		
island_33_tile_33	Mainland Airstrip		
island_33_tile_end	Terminal Camodo		
island_33_tile_end_1			
island_33_tile_end_2			
island_34_military	Military Base		
island_35_seafort			
island_36_oil_refinery			
island_37_container_depot			
island_38_lighthouse			
island_39_observatory			
island_4			
island_40_castle_tourism			
island_41_underwater_mining			
island_42_volcano_tile_11			
island_42_volcano_tile_12			
island_42_volcano_tile_13			
island_42_volcano_tile_21			
island_42_volcano_tile_22			
island_42_volcano_tile_23			
island_42_volcano_tile_31			
island_42_volcano_tile_32			
island_42_volcano_tile_33			
island_43_multiplayer_base	Multiplayer Base		
mainland_container_depot			
mega_island_0_0			
mega_island_0_1			
mega_island_0_2			
mega_island_0_3			
mega_island_0_4			
mega_island_0_5			
mega_island_0_6			
mega_island_0_7			
mega_island_0_8			
mega_island_0_9			
mega_island_10_1			
mega_island_10_2			
mega_island_10_3			
mega_island_10_4			
mega_island_10_5			
mega_island_10_6			
mega_island_10_7			
mega_island_10_8			
mega_island_10_9			
mega_island_11_0			
mega_island_11_1			
mega_island_11_2			
mega_island_11_3			
mega_island_11_4			
mega_island_11_5			
mega_island_11_6			
mega_island_11_7			
mega_island_11_8			
mega_island_11_9			
mega_island_12_0			
mega_island_12_1			
mega_island_12_2			
mega_island_12_3			
mega_island_12_4			
mega_island_12_5			
mega_island_12_6	O'Neill Airbase		
mega_island_12_7			
mega_island_12_8			
mega_island_12_9			
mega_island_13_1			
mega_island_13_2			
mega_island_13_3			
mega_island_13_4			
mega_island_13_5			
mega_island_13_6			
mega_island_13_7			
mega_island_13_8			
mega_island_13_9			
mega_island_14_0			
mega_island_14_2			
mega_island_14_3			
mega_island_14_4			
mega_island_14_5			
mega_island_14_6			
mega_island_14_7			
mega_island_14_8			
mega_island_14_9			
mega_island_15_0			
mega_island_15_1			
mega_island_15_2	Fishing Village Dock		
mega_island_15_3			
mega_island_15_4			
mega_island_15_5			
mega_island_15_6			
mega_island_15_7			
mega_island_15_8			
mega_island_16_0			
mega_island_16_1			
mega_island_16_2			
mega_island_16_3			
mega_island_16_4			
mega_island_16_5			
mega_island_16_6			
mega_island_16_7			
mega_island_16_8			
mega_island_17_0			
mega_island_17_1			
mega_island_17_2			
mega_island_17_3			
mega_island_17_4			
mega_island_17_5			
mega_island_17_6			
mega_island_17_7			
mega_island_17_8			
mega_island_18_0			
mega_island_18_1			
mega_island_18_2			
mega_island_18_3			
mega_island_18_4			
mega_island_18_5			
mega_island_18_6			
mega_island_18_7			
mega_island_19_0			
mega_island_19_1			
mega_island_19_2			
mega_island_19_3			
mega_island_19_4			
mega_island_19_5			
mega_island_19_6			
mega_island_19_7			
mega_island_1_0			
mega_island_1_1			
mega_island_1_2			
mega_island_1_3			
mega_island_1_4			
mega_island_1_5			
mega_island_1_6			
mega_island_1_7			
mega_island_1_8			
mega_island_1_9			
mega_island_2_0			
mega_island_2_1			
mega_island_2_2			
mega_island_2_3			
mega_island_2_4			
mega_island_2_5			
mega_island_2_6	Harrison Airbase		
mega_island_2_7			
mega_island_2_8			
mega_island_2_9			
mega_island_3_0			
mega_island_3_1			
mega_island_3_2			
mega_island_3_3			
mega_island_3_4			
mega_island_3_5			
mega_island_3_6			
mega_island_3_7			
mega_island_3_8			
mega_island_3_9			
mega_island_4_0			
mega_island_4_1			
mega_island_4_2			
mega_island_4_3			
mega_island_4_4			
mega_island_4_5			
mega_island_4_6			
mega_island_4_7			
mega_island_4_8			
mega_island_4_9			
mega_island_5_0			
mega_island_5_1			
mega_island_5_2			
mega_island_5_3			
mega_island_5_4			
mega_island_5_5			
mega_island_5_6			
mega_island_5_7			
mega_island_5_8			
mega_island_5_9			
mega_island_6_0			
mega_island_6_1			
mega_island_6_2			
mega_island_6_3			
mega_island_6_4			
mega_island_6_5			
mega_island_6_6			
mega_island_6_7			
mega_island_6_8			
mega_island_6_9			
mega_island_7_0			
mega_island_7_1			
mega_island_7_2			
mega_island_7_3			
mega_island_7_4			
mega_island_7_5			
mega_island_7_6			
mega_island_7_7			
mega_island_7_8			
mega_island_7_9			
mega_island_8_0			
mega_island_8_1			
mega_island_8_2			
mega_island_8_3			
mega_island_8_4			
mega_island_8_5			
mega_island_8_6			
mega_island_8_7			
mega_island_8_8			
mega_island_8_9			
mega_island_9_1			
mega_island_9_2			
mega_island_9_3			
mega_island_9_4			
mega_island_9_5			
mega_island_9_6			
mega_island_9_7			
mega_island_9_8	North Harbor Dock		
mega_island_9_9			
oil_rig			
oil_rig_medium			
oil_rig_playerbase	Custom Base Oil Rig		
seabed_cave_system			
seabed_island			
seabed_island_14			
seabed_island_19			
seabed_island_20			
seabed_island_21			
seabed_island_22			
seabed_island_23			
seabed_island_38			
seabed_shipwreck			
seabed_shipwreck_02			
test_tile	Helicopter Base		
track_bridge_diagonal_left			
track_bridge_diagonal_right			
track_bridge_straight			
track_bridge_straight_horizontal			
track_curve_left_diagonal			
track_curve_left_diagonal_rot_0			
track_curve_left_diagonal_rot_1			
track_curve_left_diagonal_rot_2			
track_curve_left_diagonal_rot_3			
track_curve_right_diagonal			
track_curve_right_diagonal_rot_0			
track_curve_right_diagonal_rot_1			
track_curve_right_diagonal_rot_2			
track_curve_right_diagonal_rot_3			
track_curve_right_diagonal_variant			
track_curve_right_diagonal_variant_rot_0			
track_curve_right_diagonal_variant_rot_1			
track_curve_right_diagonal_variant_rot_2			
track_curve_right_diagonal_variant_rot_3			
track_diagonal_left			
track_diagonal_left_fork_straight			
track_diagonal_left_fork_straight_rot_0			
track_diagonal_left_fork_straight_rot_1			
track_diagonal_left_fork_straight_rot_2			
track_diagonal_left_fork_straight_rot_3			
track_diagonal_right			
track_diagonal_right_fork_straight			
track_diagonal_right_fork_straight_rot_0			
track_diagonal_right_fork_straight_rot_1			
track_diagonal_right_fork_straight_rot_2			
track_diagonal_right_fork_straight_rot_3			
track_diagonal_variant			
track_diagonal_variant_rot_0			
track_diagonal_variant_rot_1			
track_diagonal_variant_rot_2			
track_diagonal_variant_rot_3			
track_straight			
track_straight_fork_left			
track_straight_fork_left_rot_0			
track_straight_fork_left_rot_1			
track_straight_fork_left_rot_2			
track_straight_fork_left_rot_3			
track_straight_fork_right			
track_straight_fork_right_rot_0			
track_straight_fork_right_rot_1			
track_straight_fork_right_rot_2			
track_straight_fork_right_rot_3			
track_straight_horizontal			
track_straight_variant			
track_straight_variant_rot_0			
track_straight_variant_rot_1			
track_straight_variant_rot_2			
track_straight_variant_rot_3			
volcanic_0_7			
volcanic_0_8			
volcanic_0_9			
volcanic_10_6			
volcanic_10_7			
volcanic_1_6			
volcanic_1_7			
volcanic_1_8			
volcanic_1_9			
volcanic_2_6			
volcanic_2_7			
volcanic_2_8			
volcanic_3_6			
volcanic_3_7			
volcanic_3_8			
volcanic_4_6			
volcanic_4_7			
volcanic_4_8			
volcanic_5_6			
volcanic_5_7			
volcanic_5_8			
volcanic_5_9			
volcanic_6_5			
volcanic_6_6			
volcanic_6_7			
volcanic_6_8			
volcanic_7_5			
volcanic_7_6			
volcanic_7_7			
volcanic_7_8			
volcanic_8_5			
volcanic_8_6			
volcanic_8_7			
volcanic_9_5			
volcanic_9_6			
volcanic_9_7			
wind_turbine			
